arm,scenario,n_seeds,cosine_similarity_mean,cosine_similarity_std,unobserved_entry_normalized_error_mean,unobserved_entry_normalized_error_std
null_signal,solo,5,0.978442656993866,0.015626043954050293,0.23014459162950515,0.10639850690626708
null_signal,pooled,5,0.997449803352356,0.0057023464201832914,0.04660059448607967,0.10417740150563286
hierarchical,solo,5,0.8392507195472717,0.03771132515744415,0.6429768204689026,0.07201651902496466
hierarchical,pooled,5,0.9952832818031311,0.0067740521631392105,0.10028953158762306,0.10826186832957695
