arm,method,reveal_fraction,n_seeds,cosine_similarity_mean,cosine_similarity_std,unobserved_entry_normalized_error_mean,unobserved_entry_normalized_error_std,gain_over_zero_fill_mean,gain_over_zero_fill_std,functional_fine_macro_f1_mean,functional_fine_macro_f1_std
null_signal,zero_fill,0.1,5,0.32485724687576295,0.013264376341631657,1.0,0.0,0.0,0.0,0.027741541738788626,0.003174475322068673
null_signal,zero_fill,0.5,5,0.7166006326675415,0.016615995341679814,1.0,0.0,0.0,0.0,0.027741541738788626,0.003174475322068673
null_signal,zero_fill,0.9,5,0.9473934650421143,0.004173483518405359,1.0,0.0,0.0,0.0,0.02762790537515226,0.0029972859890131007
null_signal,hard_impute,0.1,5,0.5992738008499146,0.0637488953516953,0.8516320705413818,0.05556051983135279,0.14836792945861815,0.05556051983135279,0.027741541738788626,0.003174475322068673
null_signal,hard_impute,0.5,5,1.0,7.300048299977713e-08,3.966870849581028e-06,7.531688884878221e-06,0.9999960331291504,7.531688884878221e-06,0.0327293573483466,0.013612591189833831
null_signal,hard_impute,0.9,5,0.9999999523162841,4.986882367933247e-08,9.187764504758889e-08,9.568677418290526e-09,0.999999908122355,9.568677418290526e-09,0.0327293573483466,0.013612591189833831
null_signal,soft_impute,0.1,5,0.32485724687576295,0.013264376341631657,1.0,0.0,0.0,0.0,0.027741541738788626,0.003174475322068673
null_signal,soft_impute,0.5,5,0.9201533436775208,0.02578804673270452,0.5841247975826264,0.08955379833282182,0.41587520241737364,0.08955379833282182,0.027741541738788626,0.003174475322068673
null_signal,soft_impute,0.9,5,0.9928814530372619,0.002474079736779058,0.3735854089260101,0.06234148070388104,0.6264145910739899,0.06234148070388104,0.030222199379020733,0.008131880232098265
hierarchical,zero_fill,0.1,5,0.30356588363647463,0.023713048386124428,1.0,0.0,0.0,0.0,0.18450042698816807,0.07590024549837106
hierarchical,zero_fill,0.5,5,0.7008730888366699,0.027426533656322923,1.0,0.0,0.0,0.0,0.22053740030109523,0.06789465304666174
hierarchical,zero_fill,0.9,5,0.9498154878616333,0.005419389595966476,1.0,0.0,0.0,0.0,0.2230153305341275,0.06264821747039659
hierarchical,hard_impute,0.1,5,0.3128697335720062,0.039182464176017326,1.0247462153434754,0.021678873557981843,-0.02474621534347534,0.021678873557981843,0.2010198656815198,0.07497942747370882
hierarchical,hard_impute,0.5,5,0.9852887749671936,0.019933948705697,0.17031546887010335,0.194855063159073,0.8296845311298966,0.194855063159073,0.21366786141154595,0.06619671177408235
hierarchical,hard_impute,0.9,5,1.0000000596046448,8.429369702178807e-08,1.1648532023400549e-07,1.8056843426130507e-08,0.9999998835146797,1.8056843426130507e-08,0.20902637263212615,0.07563498532182385
hierarchical,soft_impute,0.1,5,0.3793554902076721,0.07900888665874403,0.9721778035163879,0.029372282738146648,0.02782219648361206,0.029372282738146648,0.19267709733875146,0.08049425092130587
hierarchical,soft_impute,0.5,5,0.9447160124778747,0.022500665206041597,0.479364150762558,0.1027450973131704,0.520635849237442,0.1027450973131704,0.2269937468727923,0.0640505890031001
hierarchical,soft_impute,0.9,5,0.9963403940200806,0.0013341166430138325,0.2724178314208984,0.05622622400906893,0.7275821685791015,0.05622622400906893,0.20902637263212615,0.07563498532182385
