dimension,value,n_seeds,baseline_fine_f1_mean,baseline_fine_f1_std,combined_fine_f1_mean,combined_fine_f1_std,baseline_rfc_mean,baseline_rfc_std,combined_rfc_mean,combined_rfc_std
site_shift_strength,0.0,2,0.3666666666666667,0.047140452079103196,0.18571428571428572,0.02020305089104422,0.2870670995670995,0.010331105569283948,0.25822510822510825,0.059078618514720196
site_shift_strength,1.0,2,0.43333333333333335,0.3299831645537221,0.26071428571428573,0.15657364440559268,0.1510870594922319,0.011638859722542888,0.4367965367965368,0.3116167546527729
site_shift_strength,2.0,2,0.5133333333333333,0.21684607956387456,0.2654761904761905,0.1633079947026074,0.2352231102231102,0.1857244334535096,0.37896825396825395,0.2441201982667842
fine_signal_strength,0.2,2,0.22380952380952382,0.24917096098954533,0.19047619047619047,0.2693740118805895,0.34567859401825246,0.18581759251701244,0.31018518518518523,0.058925565098878946
fine_signal_strength,0.6,2,0.43333333333333335,0.3299831645537221,0.26071428571428573,0.15657364440559268,0.1510870594922319,0.011638859722542888,0.4367965367965368,0.3116167546527729
fine_signal_strength,1.0,2,0.25666666666666665,0.10842303978193728,0.1875,0.2651650429449553,0.31632653061224486,0.25494326124412936,0.20187519452225336,0.04186961254925011
class_imbalance_strength,0.0,2,0.027777777777777776,0.039283710065919304,0.03333333333333333,0.04714045207910317,0.27481060606060603,0.16525942575458322,0.41205357142857135,0.004840314275979365
class_imbalance_strength,0.5,2,0.43333333333333335,0.3299831645537221,0.26071428571428573,0.15657364440559268,0.1510870594922319,0.011638859722542888,0.4367965367965368,0.3116167546527729
class_imbalance_strength,1.0,2,0.39285714285714285,0.15152288168283162,0.4458333333333333,0.07660323462854265,0.41007168458781357,0.11460705607618522,0.37206349206349204,0.13109535244855353
coarse_ontology,primary,2,0.43333333333333335,0.3299831645537221,0.26071428571428573,0.15657364440559268,0.1510870594922319,0.011638859722542888,0.4367965367965368,0.3116167546527729
coarse_ontology,alternative,2,0.11499999999999999,0.049497474683058325,0.15,0.0,0.2573743386243386,0.09226995233340331,0.29093485879200165,0.027892162972592394
